A	B	C	D
71,8076098001581		20,322908434007	8,63723608445297
396,97414474427	26,5891385344925	25,5729931127921	14,3953934740883
21,8471265665575	46,0652591170825	311,109856610591	60,121937450604
6,60494524105227	7,11301795190245	20,1535508637236	162,752625042339
71,2995370893079	10,6695269278537	70,9608219487411	9,14530879530315
131,590832110195	9,65338150615333	43,694253133115	25,7423506830755
9,65338150615333		61,3074404425878	1,69357570283392
25,5729931127921	27,2665688156261	16,5970418877724	16,0889691769222
46,4039742576493	5,75815738963532	28,2827142373264	0,169357570283392
97,2112453426668	36,750592751496	30,9924353618607	52,5008467878514
207,971096308005	33,5327989161115	11,3469572089872	18,4599751608897
541,26679462572	40,8151744382974	13,7179631929547	37,5973806029129
12,8711753415378	79,2593428926273	55,2105679123857	1,18550299198374
9,14530879530315	96,8725302021	5,08072710850175	30,1456475104437
289,432087614316	29,8069323698769	9,82273907643672	37,0893078920628
7,11301795190245	34,7183019080953	8,1291633736028	10,1614542170035
209,664672010839	14,3953934740883		
41,8313198599977	73,501185502992	313,988935305408	21,0003387151406
4,91136953821836	48,0975499604832	175,454442813594	17,9519024500395
21,169696285424	19,3067630123067	181,043242632946	20,8309811448572
45,7265439765158	51,4847013661511	42,6781077114147	290,6175906063
62,3235858642881	34,0408716269617	45,2184712656656	4,91136953821836
2,87907869481766	70,9608219487411	4,91136953821836	65,5413796996726
153,77667381732	14,9034661849385	28,4520718076098	12,8711753415378
74,8560460652591	5,92751495991871	56,5654284746528	13,5486056226713
62,1542282940047	3,72586654623462	71,9769673704415	1,01614542170035
10,8388844981371	8,80659365473637	25,064920401942	30,6537202212939
41,3232471491476	13,0405329118212	55,8879981935192	7,45173309246923
287,569154341199	155,30089194987	153,946031387603	38,4441684543299
34,2102291972451		22,5245568476911	56,5654284746528
			
91,757443718228	341,294480755265	117,556281771968	14,4244734931009
67,6107480029049	53,8852578068264	259,640522875817	135,157952069717
64,9419026870007	123,084604212055	18,7454611474219	61,70116194626
29,0395787944808	85,1488743645606	77,523602033406	86,6103848946986
44,0994916485113	9,59513435003631	67,356572258533	341,230936819172
422,567175018155	53,3133623819898	78,0319535221496	37,9357298474946
75,6808278867102	62,1459694989107	78,7944807552651	104,656862745098
125,56281771968	218,400508351489	272,667029774873	11,5649963689179
127,087872185911	46,3235294117647	115,649963689179	138,779956427015
20,3976034858388	28,1499636891794	94,9981844589688	54,584241103849
37,363834422658	208,297022512709	18,1100217864924	56,7447349310094
16,9662309368192	208,169934640523	143,60929557008	120,352214960058
88,0083514887437	11,5649963689179	202,895787944808	134,903776325345
75,1089324618736	41,1129266521423	85,4665940450254	45,0526506899056
138,589324618736	42,1931735657226	88,8344226579521	56,1728395061728
67,8649237472767	41,8119099491649	212,61801016703	157,271241830065
56,6811909949165	57,316630355846	49,9455337690632	182,879448075527
62,4001452432825	96,0148874364561	43,5275962236747	85,7843137254902
118,064633260712	65,3231663035585	93,0283224400872	105,610021786492
242,610748002905	43,7817719680465	47,5944081336238	46,5141612200436
396,831880900508	226,978939724038	106,436092955701	19,8257080610022
11,7556281771968	22,5580973129993	74,4099491648511	176,016702977487
62,5272331154684	38,5711692084241	455,864197530864	100,590050835149
39,0159767610748	34,3137254901961	82,2893972403776	30,119825708061
64,1793754538853	20,8424110384895	22,8122730573711	89,1521423384169
59,0958605664488	77,3965141612201	33,042846768337	26,2436456063907
158,923384168482	49,3100944081336	33,1699346405229	67,7378358750908
43,8453159041394	42,8921568627451	75,8714596949891	89,2156862745098
42,0025417574437	61,4469862018882	73,0755265068991	28,658315177923
95,4429920116195	44,7984749455338	79,2392883079158	67,7378358750908
23,1935366739288	35,5846042120552	46,1328976034858	161,083877995643
343,836238198983	35,3939724037763	85,1488743645606	192,029774872912
10,9931009440813	23,0664488017429	115,268700072622	48,6111111111111
115,01452432825	124,736746550472	26,1165577342048	115,205156136529
60,9386347131445	124,228395061728	27,8322440087146	128,549382716049
			
59,891226244456	152,153175252112	82,1663073911643	83,8189747020491
94,2020367204341	17,8919200178399	118,453133130157	15,7721945538789
78,6094799177383	101,495329418469	82,3100175921108	24,9337198642186
105,519215044971	78,5376248172651	75,7352758988082	73,3281300329542
172,021110532967	53,4242672018633	91,6871082038703	29,9635768973463
30,9695483039719	51,1608315369558	120,536931043881	35,0293614807106
220,415520701702	78,0346391139523	100,381575361134	12,9339180851855
108,501201714611	25,2570678163483	155,494437424119	16,1673976064818
89,1721796873064		76,4897544537774	58,166703833098
92,9445724621522	12,8620629847122	50,3704254317501	102,106097772492
119,279466785599	39,6280879109988	49,8315121782007	9,98785896578211
105,555142595208	26,4067494239203	101,17198146634	50,083005029857
135,375009291608	14,2632374439406	60,4301394980054	78,8969003196313
112,489159790877	101,100126365866	84,7530910082014	94,2020367204341
138,321068411011	39,5562328105255	83,1722787977898	51,6638172402686
51,7356723407419	13,7243241903912	34,993433930474	151,254986496197
116,513045417379	19,9397903813276	80,1543645779132	99,0881835526153
	45,9154092024084	85,5075695631705	32,298867662727
59,891226244456	58,7056170866473	137,171386803439	192,823162119973
62,4061547610199	55,9032681681905	71,6395351718328	5,96397333927996
234,570975494933	78,3939146163186	332,078346837137	28,5624024381179
95,6391387298992	8,01184370276766	55,3643549146411	
105,734780346391	145,506578458336	96,6810376867613	156,177060878614
145,075447855497	73,9388983869769	103,93840283456	3,556827473426
49,220743824178	61,723531306524	33,7000421219555	175,2905176045
62,4420823112565	2,08379791372432	149,781956936495	32,9455635669863
54,897296761565	72,0706657746723	46,4902500061944	94,7050224237469
51,7715998909785	95,6750662801358	123,015932010208	38,9095369062663
67,1126638420179	27,9875616343319	62,010951708417	62,4061547610199
79,7232339750737	22,3469362471815		31,6162442082311
	106,59704155207		
